No,Negeri,PBT KKM,Lokaliti Wabak,Kumulatif Kes,Tarikh Mula Wabak,Tempoh Wabak
1,SELANGOR,PETALING,SEKSYEN 15 ( DATARAN OTOMOBIL : BLOK 1 - 18 ),139,24/03/2018,204
2,SELANGOR,PETALING,"SEKSYEN 7 (PUSAT KOMERSIAL A : JLN AA 7/AA - AC 7/AC, T 7/T - Z 7/Z)",56,05/12/2018,155
3,SELANGOR,PETALING,SEKSYEN 13 ( PANGSAPURI PERDANA ),146,07/12/2018,94
4,WILAYAH PERSEKUTUAN,CHERAS,KEM SG.BESI (JALAN LABUAN),36,13/07/2018,93
5,SELANGOR,PETALING,SEKSYEN 24 ( FLAT B : BLOK 10 - 21 ),19,29/07/2018,77
6,SELANGOR,HULU LANGAT,APPT SERI CEMPAKA SEKSYEN 16 BANDAR BARU BANGI,23,31/07/2018,75
7,SELANGOR,PETALING,USJ 1 (ANGSANA APPT),25,08/03/2018,73
8,SELANGOR,HULU LANGAT,JALAN TROPIKA 2 TAMAN TROPIKA,31,08/10/2018,67
9,SELANGOR,PETALING,KOTA PERDANA KP 4 (MAWAR JAYA),15,08/12/2018,63
10,SELANGOR,PETALING,SEKSYEN U5 ( PANGSAPURI JASMIN : BLOK 1 - 6 ),17,14/08/2018,61
11,SELANGOR,PETALING,KD PJU 1A PPRT LEMBAH SUBANG 2 ( BLOK A - F ),15,14/08/2018,61
12,WILAYAH PERSEKUTUAN,CHERAS,PPR DESA TUN RAZAK,19,14/08/2018,61
13,SELANGOR,PETALING,BL PJU 6 BU 2 ( TERES A : JLN 2/1 - 2/9 ),13,14/08/2018,61
14,SELANGOR,PETALING,TMN SRI SERDANG 2 (FLAT IKAN - BLOK 1-4),26,15/08/2018,60
15,SELANGOR,PETALING,SEKSYEN 16 ( KUARTERS SUK ),16,20/08/2018,55
16,WILAYAH PERSEKUTUAN,W/P PUTRAJAYA,PRESINT 9 PARCEL 4,13,21/08/2018,54
17,SELANGOR,PETALING,SEKSYEN 7 (PANGSAPURI BAIDURI),11,24/08/2018,51
18,PULAU PINANG,TIMUR LAUT,LORONG NIPAH 1 - 15,10,26/08/2018,49
19,SELANGOR,KLANG,SEK 16 (JIMBARAN KEN RIMBA),19,27/08/2018,48
20,SELANGOR,KLANG,TAMAN MAZNAH (LRG SONGKET 2),10,29/08/2018,46
21,SELANGOR,GOMBAK,SELAYANG BARU ZON 8,21,29/08/2018,46
22,SELANGOR,KLANG,TMN JOHAN SETIA ( LRG SETIA 1A),18,09/02/2018,42
23,SELANGOR,HULU LANGAT,JALAN 2/5 SEKSYEN 2 BANDAR SRI PUTRA,17,09/03/2018,42
24,SELANGOR,PETALING,TMN BKT SERDANG 14 (VILLA PAVILION),6,09/03/2018,41
25,PULAU PINANG,TIMUR LAUT,TAMAN FREE SCHOOL,11,09/04/2018,40
26,SELANGOR,PETALING,DU SS 2 ( 1 ),10,09/04/2018,40
27,SELANGOR,PETALING,TMN PUCHONG PERMAI (FLAT 38 BLOK A),7,09/04/2018,40
28,SELANGOR,PETALING,PJS 9 /1(LAGOON PERDANA & RUMAH KEDAI),12,09/04/2018,40
29,PULAU PINANG,TIMUR LAUT,PANGSAPURI LIM KHOON HUAT,12,09/05/2018,39
30,SELANGOR,PETALING,SEKSYEN 2,6,09/06/2018,38
31,SABAH,SANDAKAN,KAMPUNG BATU PUTIH,9,09/07/2018,37
32,SELANGOR,PETALING,TMN PUCHONG UTAMA (JLN PU 10),5,09/07/2018,37
33,SELANGOR,PETALING,SEKSYEN 24 ( FLAT H : BLOK 64 - 78 ),6,09/07/2018,37
34,WILAYAH PERSEKUTUAN,TITIWANGSA,DESA PASIFIK AMPANG (PERUMAHAN ATM),20,09/09/2018,35
35,SARAWAK,KUCHING,JLN P.RAMLEE,10,09/09/2018,35
36,SELANGOR,PETALING,DU PJU 1 ( 1 ) : KG CEMPAKA,8,09/09/2018,35
37,SELANGOR,HULU LANGAT,APPT JALAN 1/9C SEKSYEN 1 BANDAR BARU BANGI,7,09/11/2018,33
38,SELANGOR,PETALING,SEKSYEN 16 ( PANGSAPURI ANGGERIK INDAH ),14,09/11/2018,33
39,SELANGOR,HULU LANGAT,SEKSYEN 2 BANDAR RINCHING,5,09/12/2018,32
40,WILAYAH PERSEKUTUAN,KEPONG,"PPR PEKAN KEPONG (BLOK A, B DAN C)",5,13/09/2018,31
41,SELANGOR,PETALING,TMN LESTARI PUTRA (LEP 6),16,13/09/2018,31
42,SELANGOR,GOMBAK,AU3 TMN KERAMAT ZON E,4,13/09/2018,31
