MMIN,MMAX,CACH,CHMIN,CHMAX,MYCT,class
4000,16000,'\'(-inf-85.333333]\'',6,12,17,'\'(-inf-387.333333]\''
4000,16000,'\'(-inf-85.333333]\'',6,12,17,'\'(-inf-387.333333]\''
16000,32000,'\'(-inf-85.333333]\'',16,32,23,'\'(-inf-387.333333]\''
2000,12000,'\'(-inf-85.333333]\'',1,4,25,'\'(-inf-387.333333]\''
2000,12000,'\'(-inf-85.333333]\'',3,5,25,'\'(-inf-387.333333]\''
1310,2620,'\'(85.333333-170.666667]\'',12,24,25,'\'(-inf-387.333333]\''
1310,2620,'\'(85.333333-170.666667]\'',12,24,25,'\'(-inf-387.333333]\''
8000,24000,'\'(-inf-85.333333]\'',8,16,26,'\'(-inf-387.333333]\''
8000,16000,'\'(-inf-85.333333]\'',8,16,26,'\'(-inf-387.333333]\''
8000,32000,'\'(-inf-85.333333]\'',12,16,26,'\'(-inf-387.333333]\''
8000,32000,'\'(-inf-85.333333]\'',8,24,26,'\'(-inf-387.333333]\''
8000,32000,'\'(-inf-85.333333]\'',8,32,26,'\'(-inf-387.333333]\''
8000,16000,'\'(-inf-85.333333]\'',8,16,29,'\'(-inf-387.333333]\''
8000,32000,'\'(-inf-85.333333]\'',8,32,29,'\'(-inf-387.333333]\''
8000,32000,'\'(-inf-85.333333]\'',8,32,29,'\'(-inf-387.333333]\''
8000,32000,'\'(-inf-85.333333]\'',8,32,29,'\'(-inf-387.333333]\''
8000,32000,'\'(-inf-85.333333]\'',8,24,35,'\'(-inf-387.333333]\''
4000,8000,'\'(-inf-85.333333]\'',16,32,38,'\'(-inf-387.333333]\''
8000,16000,'\'(-inf-85.333333]\'',4,8,38,'\'(-inf-387.333333]\''
4000,8000,'\'(-inf-85.333333]\'',16,32,38,'\'(-inf-387.333333]\''
8000,24000,'\'(85.333333-170.666667]\'',4,8,38,'\'(-inf-387.333333]\''
4000,16000,'\'(85.333333-170.666667]\'',16,32,38,'\'(-inf-387.333333]\''
8000,32000,'\'(-inf-85.333333]\'',8,24,38,'\'(-inf-387.333333]\''
8000,16000,'\'(-inf-85.333333]\'',8,16,40,'\'(-inf-387.333333]\''
8000,32000,'\'(-inf-85.333333]\'',8,24,40,'\'(-inf-387.333333]\''
4000,24000,'\'(-inf-85.333333]\'',8,24,48,'\'(-inf-387.333333]\''
500,2000,'\'(-inf-85.333333]\'',1,4,50,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',3,5,50,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',3,6,50,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',1,5,50,'\'(-inf-387.333333]\''
2620,10480,'\'(-inf-85.333333]\'',12,24,50,'\'(-inf-387.333333]\''
1000,8000,'\'(-inf-85.333333]\'',3,5,50,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',3,5,50,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',3,6,50,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',3,16,50,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',3,6,50,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',6,16,50,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,6,50,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',3,6,50,'\'(-inf-387.333333]\''
2620,10480,'\'(-inf-85.333333]\'',12,24,50,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',6,16,50,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',1,6,50,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,5,50,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',1,6,50,'\'(-inf-387.333333]\''
4000,16000,'\'(-inf-85.333333]\'',5,10,50,'\'(-inf-387.333333]\''
2000,32000,'\'(-inf-85.333333]\'',6,26,50,'\'(-inf-387.333333]\''
8000,16000,'\'(-inf-85.333333]\'',1,10,50,'\'(-inf-387.333333]\''
4000,16000,'\'(-inf-85.333333]\'',1,8,50,'\'(-inf-387.333333]\''
2000,32000,'\'(-inf-85.333333]\'',26,52,50,'\'(-inf-387.333333]\''
2000,32000,'\'(85.333333-170.666667]\'',52,104,50,'\'(-inf-387.333333]\''
4000,16000,'\'(-inf-85.333333]\'',4,12,52,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',1,6,56,'\'(-inf-387.333333]\''
2000,6000,'\'(-inf-85.333333]\'',1,8,56,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,8,56,'\'(-inf-387.333333]\''
4000,8000,'\'(-inf-85.333333]\'',1,8,56,'\'(-inf-387.333333]\''
4000,12000,'\'(-inf-85.333333]\'',1,8,56,'\'(-inf-387.333333]\''
4000,16000,'\'(-inf-85.333333]\'',1,8,56,'\'(-inf-387.333333]\''
5240,20970,'\'(-inf-85.333333]\'',12,24,56,'\'(-inf-387.333333]\''
4000,16000,'\'(-inf-85.333333]\'',6,12,57,'\'(-inf-387.333333]\''
4000,24000,'\'(-inf-85.333333]\'',12,16,57,'\'(-inf-387.333333]\''
4000,12000,'\'(-inf-85.333333]\'',6,12,59,'\'(-inf-387.333333]\''
8000,16000,'\'(-inf-85.333333]\'',12,24,59,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',5,8,60,'\'(-inf-387.333333]\''
4000,16000,'\'(-inf-85.333333]\'',1,6,60,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,8,60,'\'(-inf-387.333333]\''
4000,16000,'\'(-inf-85.333333]\'',5,8,60,'\'(-inf-387.333333]\''
5240,20970,'\'(-inf-85.333333]\'',12,24,64,'\'(-inf-387.333333]\''
4000,12000,'\'(-inf-85.333333]\'',6,8,70,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',6,8,72,'\'(-inf-387.333333]\''
4000,16000,'\'(-inf-85.333333]\'',8,16,72,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',3,24,75,'\'(-inf-387.333333]\''
3000,8000,'\'(-inf-85.333333]\'',3,48,75,'\'(-inf-387.333333]\''
4000,16000,'\'(-inf-85.333333]\'',1,6,75,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,38,75,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',1,38,75,'\'(-inf-387.333333]\''
2000,16000,'\'(85.333333-170.666667]\'',1,38,75,'\'(-inf-387.333333]\''
1000,2000,'\'(-inf-85.333333]\'',1,6,84,'\'(-inf-387.333333]\''
256,1000,'\'(-inf-85.333333]\'',3,10,90,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,6,92,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,6,92,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,6,92,'\'(-inf-387.333333]\''
1000,8000,'\'(-inf-85.333333]\'',2,8,98,'\'(-inf-387.333333]\''
1000,8000,'\'(-inf-85.333333]\'',2,6,100,'\'(-inf-387.333333]\''
1000,8000,'\'(-inf-85.333333]\'',2,6,100,'\'(-inf-387.333333]\''
1000,8000,'\'(-inf-85.333333]\'',3,6,100,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',3,8,105,'\'(-inf-387.333333]\''
256,2000,'\'(-inf-85.333333]\'',3,10,105,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',3,24,105,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',3,19,105,'\'(-inf-387.333333]\''
2000,6000,'\'(-inf-85.333333]\'',6,16,105,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',4,14,105,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',1,2,110,'\'(-inf-387.333333]\''
1000,12000,'\'(-inf-85.333333]\'',1,2,110,'\'(-inf-387.333333]\''
3100,6200,'\'(-inf-85.333333]\'',6,64,110,'\'(-inf-387.333333]\''
5000,5000,'\'(85.333333-170.666667]\'',8,64,110,'\'(-inf-387.333333]\''
1000,1000,'\'(-inf-85.333333]\'',1,4,112,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',1,5,115,'\'(-inf-387.333333]\''
512,6000,'\'(-inf-85.333333]\'',1,6,115,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,3,115,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',5,28,116,'\'(-inf-387.333333]\''
1000,8000,'\'(-inf-85.333333]\'',1,8,124,'\'(-inf-387.333333]\''
512,1000,'\'(-inf-85.333333]\'',8,20,125,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',2,14,125,'\'(-inf-387.333333]\''
256,6000,'\'(170.666667-inf)\'',16,128,125,'\'(-inf-387.333333]\''
1000,12000,'\'(-inf-85.333333]\'',3,12,133,'\'(-inf-387.333333]\''
1000,8000,'\'(-inf-85.333333]\'',3,12,133,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',1,20,140,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',3,6,140,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',1,20,140,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',4,8,140,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,54,140,'\'(-inf-387.333333]\''
2000,32000,'\'(-inf-85.333333]\'',1,20,140,'\'(-inf-387.333333]\''
1000,16000,'\'(-inf-85.333333]\'',1,3,140,'\'(-inf-387.333333]\''
2000,32000,'\'(-inf-85.333333]\'',1,54,140,'\'(-inf-387.333333]\''
2000,32000,'\'(-inf-85.333333]\'',1,54,140,'\'(-inf-387.333333]\''
512,5000,'\'(-inf-85.333333]\'',7,32,143,'\'(-inf-387.333333]\''
1500,6300,'\'(-inf-85.333333]\'',5,32,143,'\'(-inf-387.333333]\''
1000,2000,'\'(-inf-85.333333]\'',5,16,143,'\'(-inf-387.333333]\''
3100,6200,'\'(-inf-85.333333]\'',5,20,143,'\'(-inf-387.333333]\''
2300,6200,'\'(-inf-85.333333]\'',6,64,143,'\'(-inf-387.333333]\''
512,4000,'\'(-inf-85.333333]\'',8,128,150,'\'(-inf-387.333333]\''
512,4000,'\'(-inf-85.333333]\'',1,5,160,'\'(-inf-387.333333]\''
512,2000,'\'(-inf-85.333333]\'',3,8,160,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',1,14,160,'\'(-inf-387.333333]\''
1000,8000,'\'(-inf-85.333333]\'',1,14,160,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,13,160,'\'(-inf-387.333333]\''
524,2000,'\'(-inf-85.333333]\'',4,15,167,'\'(-inf-387.333333]\''
256,2000,'\'(-inf-85.333333]\'',3,24,175,'\'(-inf-387.333333]\''
262,4000,'\'(-inf-85.333333]\'',1,3,180,'\'(-inf-387.333333]\''
512,4000,'\'(-inf-85.333333]\'',1,3,180,'\'(-inf-387.333333]\''
262,4000,'\'(-inf-85.333333]\'',1,3,180,'\'(-inf-387.333333]\''
512,4000,'\'(-inf-85.333333]\'',1,3,180,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,6,180,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',1,6,180,'\'(-inf-387.333333]\''
768,12000,'\'(-inf-85.333333]\'',1,31,180,'\'(-inf-387.333333]\''
2000,16000,'\'(-inf-85.333333]\'',1,6,185,'\'(-inf-387.333333]\''
1000,2000,'\'(-inf-85.333333]\'',1,2,200,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',1,4,200,'\'(-inf-387.333333]\''
512,16000,'\'(-inf-85.333333]\'',4,32,200,'\'(-inf-387.333333]\''
1000,8000,'\'(-inf-85.333333]\'',1,2,200,'\'(-inf-387.333333]\''
2000,8000,'\'(-inf-85.333333]\'',1,5,200,'\'(-inf-387.333333]\''
512,8000,'\'(-inf-85.333333]\'',1,8,200,'\'(-inf-387.333333]\''
1000,2000,'\'(-inf-85.333333]\'',1,5,203,'\'(-inf-387.333333]\''
1000,8000,'\'(-inf-85.333333]\'',1,2,220,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',3,6,225,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',3,6,225,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',3,6,225,'\'(-inf-387.333333]\''
512,1000,'\'(-inf-85.333333]\'',1,3,240,'\'(-inf-387.333333]\''
512,2000,'\'(-inf-85.333333]\'',1,5,240,'\'(-inf-387.333333]\''
512,4000,'\'(-inf-85.333333]\'',1,7,250,'\'(-inf-387.333333]\''
512,4000,'\'(-inf-85.333333]\'',4,7,250,'\'(-inf-387.333333]\''
1000,16000,'\'(-inf-85.333333]\'',1,8,250,'\'(-inf-387.333333]\''
768,3000,'\'(-inf-85.333333]\'',6,24,300,'\'(-inf-387.333333]\''
192,768,'\'(-inf-85.333333]\'',6,24,300,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',3,64,300,'\'(-inf-387.333333]\''
1000,16000,'\'(-inf-85.333333]\'',2,112,300,'\'(-inf-387.333333]\''
768,3000,'\'(-inf-85.333333]\'',6,24,300,'\'(-inf-387.333333]\''
768,4500,'\'(-inf-85.333333]\'',1,24,300,'\'(-inf-387.333333]\''
768,12000,'\'(-inf-85.333333]\'',6,24,300,'\'(-inf-387.333333]\''
384,12000,'\'(-inf-85.333333]\'',1,24,300,'\'(-inf-387.333333]\''
128,6000,'\'(-inf-85.333333]\'',1,12,320,'\'(-inf-387.333333]\''
256,3000,'\'(-inf-85.333333]\'',1,3,320,'\'(-inf-387.333333]\''
256,5000,'\'(-inf-85.333333]\'',1,6,320,'\'(-inf-387.333333]\''
256,6000,'\'(-inf-85.333333]\'',1,6,320,'\'(-inf-387.333333]\''
512,8000,'\'(-inf-85.333333]\'',1,5,320,'\'(-inf-387.333333]\''
512,2000,'\'(-inf-85.333333]\'',1,3,320,'\'(-inf-387.333333]\''
512,5000,'\'(-inf-85.333333]\'',1,5,320,'\'(-inf-387.333333]\''
1000,3000,'\'(-inf-85.333333]\'',2,4,330,'\'(-inf-387.333333]\''
1000,2000,'\'(-inf-85.333333]\'',1,2,330,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',3,6,330,'\'(-inf-387.333333]\''
64,64,'\'(-inf-85.333333]\'',1,4,350,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',1,1,400,'\'(-inf-387.333333]\''
4000,8000,'\'(-inf-85.333333]\'',1,1,400,'\'(-inf-387.333333]\''
1000,3000,'\'(-inf-85.333333]\'',1,2,400,'\'(-inf-387.333333]\''
512,3500,'\'(-inf-85.333333]\'',1,6,400,'\'(-inf-387.333333]\''
96,512,'\'(-inf-85.333333]\'',1,1,480,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',0,0,480,'\'(-inf-387.333333]\''
512,8000,'\'(-inf-85.333333]\'',0,0,480,'\'(-inf-387.333333]\''
768,2000,'\'(-inf-85.333333]\'',1,1,600,'\'(-inf-387.333333]\''
384,8000,'\'(-inf-85.333333]\'',1,1,700,'\'(-inf-387.333333]\''
256,2000,'\'(-inf-85.333333]\'',1,1,700,'\'(-inf-387.333333]\''
256,8000,'\'(-inf-85.333333]\'',1,4,800,'\'(-inf-387.333333]\''
256,8000,'\'(-inf-85.333333]\'',1,4,800,'\'(-inf-387.333333]\''
256,8000,'\'(-inf-85.333333]\'',1,4,800,'\'(-inf-387.333333]\''
256,8000,'\'(-inf-85.333333]\'',1,4,800,'\'(-inf-387.333333]\''
768,2000,'\'(-inf-85.333333]\'',0,0,800,'\'(-inf-387.333333]\''
256,8000,'\'(-inf-85.333333]\'',1,4,800,'\'(-inf-387.333333]\''
512,512,'\'(-inf-85.333333]\'',1,1,810,'\'(-inf-387.333333]\''
1000,5000,'\'(-inf-85.333333]\'',1,1,810,'\'(-inf-387.333333]\''
1000,1000,'\'(-inf-85.333333]\'',1,2,900,'\'(-inf-387.333333]\''
512,1000,'\'(-inf-85.333333]\'',1,2,900,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',1,2,900,'\'(-inf-387.333333]\''
1000,4000,'\'(-inf-85.333333]\'',1,2,900,'\'(-inf-387.333333]\''
2000,4000,'\'(-inf-85.333333]\'',3,6,900,'\'(-inf-387.333333]\''
512,1500,'\'(-inf-85.333333]\'',1,1,1100,'\'(-inf-387.333333]\''
768,2000,'\'(-inf-85.333333]\'',1,1,1100,'\'(-inf-387.333333]\''
768,1000,'\'(-inf-85.333333]\'',0,0,1500,'\'(-inf-387.333333]\''
768,2000,'\'(-inf-85.333333]\'',0,0,1500,'\'(-inf-387.333333]\''
16000,32000,'\'(-inf-85.333333]\'',16,32,23,'\'(387.333333-768.666667]\''
16000,64000,'\'(-inf-85.333333]\'',16,32,23,'\'(387.333333-768.666667]\''
