MMIN,MMAX,CACH,CHMIN,CHMAX,MYCT,class
4000,16000,low,6,12,17,low
4000,16000,low,6,12,17,low
16000,32000,low,16,32,23,low
2000,12000,low,1,4,25,low
2000,12000,low,3,5,25,low
1310,2620,moderate,12,24,25,low
1310,2620,moderate,12,24,25,low
8000,24000,low,8,16,26,low
8000,16000,low,8,16,26,low
8000,32000,low,12,16,26,low
8000,32000,low,8,24,26,low
8000,32000,low,8,32,26,low
8000,16000,low,8,16,29,low
8000,32000,low,8,32,29,low
8000,32000,low,8,32,29,low
8000,32000,low,8,32,29,low
8000,32000,low,8,24,35,low
4000,8000,low,16,32,38,low
8000,16000,low,4,8,38,low
4000,8000,low,16,32,38,low
8000,24000,moderate,4,8,38,low
4000,16000,moderate,16,32,38,low
8000,32000,low,8,24,38,low
8000,16000,low,8,16,40,low
8000,32000,low,8,24,40,low
4000,24000,low,8,24,48,low
500,2000,low,1,4,50,low
1000,4000,low,3,5,50,low
2000,4000,low,3,6,50,low
1000,4000,low,1,5,50,low
2620,10480,low,12,24,50,low
1000,8000,low,3,5,50,low
2000,16000,low,3,5,50,low
2000,8000,low,3,6,50,low
2000,16000,low,3,16,50,low
2000,16000,low,3,6,50,low
2000,16000,low,6,16,50,low
2000,8000,low,1,6,50,low
2000,16000,low,3,6,50,low
2620,10480,low,12,24,50,low
2000,16000,low,6,16,50,low
2000,16000,low,1,6,50,low
2000,8000,low,1,5,50,low
2000,16000,low,1,6,50,low
4000,16000,low,5,10,50,low
2000,32000,low,6,26,50,low
8000,16000,low,1,10,50,low
4000,16000,low,1,8,50,low
2000,32000,low,26,52,50,low
2000,32000,moderate,52,104,50,low
4000,16000,low,4,12,52,low
1000,4000,low,1,6,56,low
2000,6000,low,1,8,56,low
2000,8000,low,1,8,56,low
4000,8000,low,1,8,56,low
4000,12000,low,1,8,56,low
4000,16000,low,1,8,56,low
5240,20970,low,12,24,56,low
4000,16000,low,6,12,57,low
4000,24000,low,12,16,57,low
4000,12000,low,6,12,59,low
8000,16000,low,12,24,59,low
2000,16000,low,5,8,60,low
4000,16000,low,1,6,60,low
2000,8000,low,1,8,60,low
4000,16000,low,5,8,60,low
5240,20970,low,12,24,64,low
4000,12000,low,6,8,70,low
2000,8000,low,6,8,72,low
4000,16000,low,8,16,72,low
2000,8000,low,3,24,75,low
3000,8000,low,3,48,75,low
4000,16000,low,1,6,75,low
2000,8000,low,1,38,75,low
2000,16000,low,1,38,75,low
2000,16000,moderate,1,38,75,low
1000,2000,low,1,6,84,low
256,1000,low,3,10,90,low
2000,8000,low,1,6,92,low
2000,8000,low,1,6,92,low
2000,8000,low,1,6,92,low
1000,8000,low,2,8,98,low
1000,8000,low,2,6,100,low
1000,8000,low,2,6,100,low
1000,8000,low,3,6,100,low
2000,4000,low,3,8,105,low
256,2000,low,3,10,105,low
1000,4000,low,3,24,105,low
2000,4000,low,3,19,105,low
2000,6000,low,6,16,105,low
2000,8000,low,4,14,105,low
1000,4000,low,1,2,110,low
1000,12000,low,1,2,110,low
3100,6200,low,6,64,110,low
5000,5000,moderate,8,64,110,low
1000,1000,low,1,4,112,low
2000,4000,low,1,5,115,low
512,6000,low,1,6,115,low
2000,8000,low,1,3,115,low
2000,8000,low,5,28,116,low
1000,8000,low,1,8,124,low
