MMIN,MMAX,CACH,CHMIN,CHMAX,MYCT,class
0.123246,0.249249,low,0.115385,0.068182,0,low
0.123246,0.249249,low,0.115385,0.068182,0,low
0.498998,0.499499,low,0.307692,0.181818,0.004046,low
0.060621,0.186687,low,0.019231,0.022727,0.005394,low
0.060621,0.186687,low,0.057692,0.028409,0.005394,low
0.039016,0.039977,moderate,0.230769,0.136364,0.005394,low
0.039016,0.039977,moderate,0.230769,0.136364,0.005394,low
0.248497,0.374374,low,0.153846,0.090909,0.006069,low
0.248497,0.249249,low,0.153846,0.090909,0.006069,low
0.248497,0.499499,low,0.230769,0.090909,0.006069,low
0.248497,0.499499,low,0.153846,0.136364,0.006069,low
0.248497,0.499499,low,0.153846,0.181818,0.006069,low
0.248497,0.249249,low,0.153846,0.090909,0.008092,low
0.248497,0.499499,low,0.153846,0.181818,0.008092,low
0.248497,0.499499,low,0.153846,0.181818,0.008092,low
0.248497,0.499499,low,0.153846,0.181818,0.008092,low
0.248497,0.499499,low,0.153846,0.136364,0.012138,low
0.123246,0.124124,low,0.307692,0.181818,0.01416,low
0.248497,0.249249,low,0.076923,0.045455,0.01416,low
0.123246,0.124124,low,0.307692,0.181818,0.01416,low
0.248497,0.374374,moderate,0.076923,0.045455,0.01416,low
0.123246,0.249249,moderate,0.307692,0.181818,0.01416,low
0.248497,0.499499,low,0.153846,0.136364,0.01416,low
0.248497,0.249249,low,0.153846,0.090909,0.015509,low
0.248497,0.499499,low,0.153846,0.136364,0.015509,low
0.123246,0.374374,low,0.153846,0.136364,0.020904,low
0.013652,0.03028,low,0.019231,0.022727,0.022252,low
0.029309,0.061562,low,0.057692,0.028409,0.022252,low
0.060621,0.061562,low,0.057692,0.034091,0.022252,low
0.029309,0.061562,low,0.019231,0.028409,0.022252,low
0.080035,0.162913,low,0.230769,0.136364,0.022252,low
0.029309,0.124124,low,0.057692,0.028409,0.022252,low
0.060621,0.249249,low,0.057692,0.028409,0.022252,low
0.060621,0.124124,low,0.057692,0.034091,0.022252,low
0.060621,0.249249,low,0.057692,0.090909,0.022252,low
0.060621,0.249249,low,0.057692,0.034091,0.022252,low
0.060621,0.249249,low,0.115385,0.090909,0.022252,low
0.060621,0.124124,low,0.019231,0.034091,0.022252,low
0.060621,0.249249,low,0.057692,0.034091,0.022252,low
0.080035,0.162913,low,0.230769,0.136364,0.022252,low
0.060621,0.249249,low,0.115385,0.090909,0.022252,low
0.060621,0.249249,low,0.019231,0.034091,0.022252,low
0.060621,0.124124,low,0.019231,0.028409,0.022252,low
0.060621,0.249249,low,0.019231,0.034091,0.022252,low
0.123246,0.249249,low,0.096154,0.056818,0.022252,low
0.060621,0.499499,low,0.115385,0.147727,0.022252,low
0.248497,0.249249,low,0.019231,0.056818,0.022252,low
0.123246,0.249249,low,0.019231,0.045455,0.022252,low
0.060621,0.499499,low,0.5,0.295455,0.022252,low
0.060621,0.499499,moderate,1,0.590909,0.022252,low
0.123246,0.249249,low,0.076923,0.068182,0.023601,low
0.029309,0.061562,low,0.019231,0.034091,0.026298,low
0.060621,0.092843,low,0.019231,0.045455,0.026298,low
0.060621,0.124124,low,0.019231,0.045455,0.026298,low
0.123246,0.124124,low,0.019231,0.045455,0.026298,low
0.123246,0.186687,low,0.019231,0.045455,0.026298,low
0.123246,0.249249,low,0.019231,0.045455,0.026298,low
0.162074,0.326983,low,0.230769,0.136364,0.026298,low
0.123246,0.249249,low,0.115385,0.068182,0.026972,low
0.123246,0.374374,low,0.230769,0.090909,0.026972,low
0.123246,0.186687,low,0.115385,0.068182,0.028321,low
0.248497,0.249249,low,0.230769,0.136364,0.028321,low
0.060621,0.249249,low,0.096154,0.045455,0.028995,low
0.123246,0.249249,low,0.019231,0.034091,0.028995,low
0.060621,0.124124,low,0.019231,0.045455,0.028995,low
0.123246,0.249249,low,0.096154,0.045455,0.028995,low
0.162074,0.326983,low,0.230769,0.136364,0.031693,low
0.123246,0.186687,low,0.115385,0.045455,0.035738,low
0.060621,0.124124,low,0.115385,0.045455,0.037087,low
0.123246,0.249249,low,0.153846,0.090909,0.037087,low
